product_category,product_name,product_price
Women's Eyeglasses,Greenwich,$44.95
Women's Eyeglasses,Tempe,$24.95
Women's Eyeglasses,Sandera,$44.95
Women's Eyeglasses,Bedford,$29.95
Women's Eyeglasses,Tampa,$39.95
Women's Eyeglasses,Edmonds,$19.95
Women's Eyeglasses,Pensacola,$34.95
Women's Eyeglasses,Clearwater,$34.95
Women's Eyeglasses,Cadence,$39.95
Blue block pro,Pitta,$29.95
Blue block pro,Nigel,$29.95
Blue block pro,Petersburg,$12.95
Blue block pro,Acadia,$44.95
Blue block pro,Georgia,$29.95
Blue block pro,Glendale,$29.95
Blue block pro,Martinez,$29.95
Blue block pro,Gemini,$89.00
Blue block pro,Chloe,$34.95
Blue block pro,Savannah,$39.95
Blue block pro,Union,$79.00
Blue block pro,Utica,$29.95
Blue block pro,Middletown,$45.95
Blue block pro,Lagrange,$29.95
Blue block pro,Gadsden,$29.95
Blue block pro,Crescent,$29.95
Blue block pro,Marina,$29.95
Blue block pro,Sagittarius,$19.95
Blue block pro,Edwina,$12.95
Blue block pro,Astoria,$69.00
Blue block pro,Capricorn,$79.00
Blue block pro,Montgomery,$24.95
Blue block pro,Saxton,$89.00
Blue block pro,Jodian,$34.95
Blue block pro,DelRio,$29.95
Blue block pro,Jacqueline,$35.95
Blue block pro,Betty,$29.95
Blue block pro,Mildred,$19.95
Blue block pro,Cynthia,$34.95
Blue block pro,Clara,$24.95
Blue block pro,Alexia,$39.95
Blue block pro,Wichita,$79.00
Blue block pro,Dempsey,$34.95
Blue block pro,Charley,$44.95
Blue block pro,Queena,$19.95
Blue block pro,Howard,$5.95
Blue block pro,Dorado,$24.95
Blue block pro,Blair,$29.95
Blue block pro,McAlester,$19.95
Blue block pro,Mill,$64.95
Blue block pro,Beaumont,$19.95
Blue Light Blocking Glasses,Aries,$29.95
Blue Light Blocking Glasses,Racine,$44.95
Blue block pro,Amiens,$14.98
Blue Light Blocking Glasses,Gladstone,$44.95
Blue Light Blocking Glasses,Harvey,$29.95
Blue block pro,Kristin,$29.95
Blue block pro,Pendleton,$29.95
Blue Light Blocking Glasses,Elmira,$24.94
Blue block pro,Warrenville,$49.95
Blue block pro,ElDorado,$19.95
Blue Light Blocking Glasses,Wheaton,$44.95
Blue Light Blocking Glasses,Jennifer,$39.95
Blue Light Blocking Glasses,Eve,$29.95
Blue Light Blocking Glasses,Alton,$49.95
Blue Light Blocking Glasses,Arad,$34.95
Blue Light Blocking Glasses,Madge,$29.95
Blue Light Blocking Glasses,Eureka,$29.95
Blue Light Blocking Glasses,Irene,$39.95
Blue Light Blocking Glasses,Jodie,$29.95
Blue Light Blocking Glasses,Gabrielle,$29.95
Blue Light Blocking Glasses,Julia,$24.95
Blue Light Blocking Glasses,City,$79.00
Blue Light Blocking Glasses,Iris,$54.95
Blue Light Blocking Glasses,Adrian,$29.95
Blue Light Blocking Glasses,Barrie,$19.95
Blue Light Blocking Glasses,Martha,$19.95
Blue Light Blocking Glasses,Flint,$19.95
Blue Light Blocking Glasses,Hatteras,$29.95
Blue Light Blocking Glasses,Letitia,$29.95
Blue Light Blocking Glasses,Sherman,$44.95
Blue Light Blocking Glasses,Antonio,$29.95
