name,price,url
Middletown,$45.95,https://www.glassesshop.com/eyeglasses/ft0533
Charlottesville,$29.95,https://www.glassesshop.com/eyeglasses/spfm011
Gadsden,$29.95,https://www.glassesshop.com/eyeglasses/rm0305
Marina,$29.95,https://www.glassesshop.com/eyeglasses/fz1800
Jennifer,$39.95,https://www.glassesshop.com/eyeglasses/fm1602
Elliot,$65.95,https://www.glassesshop.com/eyeglasses/ft0577
Racine,$44.95,https://www.glassesshop.com/eyeglasses/ft0386
Aaron,$29.95,https://www.glassesshop.com/eyeglasses/ft0395
Aries,$29.95,https://www.glassesshop.com/eyeglasses/fm1430
Elmira,$24.94,https://www.glassesshop.com/eyeglasses/fp2291
Harvey,$29.95,https://www.glassesshop.com/eyeglasses/fz1810
Beloit,$49.95,https://www.glassesshop.com/eyeglasses/ft0570
Wheaton,$44.95,https://www.glassesshop.com/eyeglasses/ft0389
Alton,$49.95,https://www.glassesshop.com/eyeglasses/ft0486
Eve,$29.95,https://www.glassesshop.com/eyeglasses/fp2209
Iris,$54.95,https://www.glassesshop.com/eyeglasses/ft0400
Eureka,$29.95,https://www.glassesshop.com/eyeglasses/fz1402
Arad,$34.95,https://www.glassesshop.com/eyeglasses/fp2314
Madge,$29.95,https://www.glassesshop.com/eyeglasses/fm1622
Irene,$39.95,https://www.glassesshop.com/eyeglasses/fm1601
Letitia,$29.95,https://www.glassesshop.com/eyeglasses/sm0918
Jodie,$29.95,https://www.glassesshop.com/eyeglasses/fp2409
Camden,$44.95,https://www.glassesshop.com/eyeglasses/ft0552
Antonio,$29.95,https://www.glassesshop.com/eyeglasses/spfm001
Gabrielle,$29.95,https://www.glassesshop.com/eyeglasses/ft0562
Scottsdale,$29.95,https://www.glassesshop.com/eyeglasses/ft0555
Julia,$24.95,https://www.glassesshop.com/eyeglasses/fp2095
Montague,$39.95,https://www.glassesshop.com/eyeglasses/fp1745
Bblythe,$19.95,https://www.glassesshop.com/eyeglasses/ft0426
Rosalind,$19.95,https://www.glassesshop.com/eyeglasses/fm1549
Tulsa,$44.95,https://www.glassesshop.com/eyeglasses/ft0415
Weymouth,$29.95,https://www.glassesshop.com/eyeglasses/fz1489
June,$54.95,https://www.glassesshop.com/eyeglasses/st0265
Tempe,$24.95,https://www.glassesshop.com/eyeglasses/fm1626
Greenwich,$44.95,https://www.glassesshop.com/eyeglasses/ft0487
Sandera,$44.95,https://www.glassesshop.com/eyeglasses/ft0348
Bedford,$29.95,https://www.glassesshop.com/eyeglasses/ft0466
Tampa,$39.95,https://www.glassesshop.com/eyeglasses/fz1625
Cadence,$39.95,https://www.glassesshop.com/eyeglasses/ft0314
Edmonds,$19.95,https://www.glassesshop.com/eyeglasses/fp2302
Clearwater,$34.95,https://www.glassesshop.com/eyeglasses/fz1564
Dale,$29.95,https://www.glassesshop.com/eyeglasses/fm1591
Catherine,$24.95,https://www.glassesshop.com/eyeglasses/fm1509
Tiffen,$19.95,https://www.glassesshop.com/eyeglasses/fp1443
Adam,$24.95,https://www.glassesshop.com/eyeglasses/fp1543
Janet,$12.95,https://www.glassesshop.com/eyeglasses/ft0431
Chapman,$29.95,https://www.glassesshop.com/eyeglasses/ft0442
